Format Version,1.23,Take Name,Team 5 Real 1,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 11.06.20.925 AM,Total Frames in Take,11099,Total Exported Frames,11099,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,0.004883,0.005171,-0.007822,0.999944,1.342476,1.051368,3.983916,1.343158,1.050483,4.023152,1.411776,1.048459,3.965913,1.273307,1.053348,3.961798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.047222,0.005817,0.005178,-0.008083,0.999937,1.342486,1.051419,3.983885,1.343169,1.050416,4.023121,1.411606,1.048566,3.965869,1.273293,1.053547,3.961751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.050000,0.008953,0.006837,-0.006643,0.999915,1.342431,1.051625,3.983971,1.343176,1.050445,4.023094,1.409402,1.050349,3.965285,1.273329,1.053419,3.961836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.052778,0.003837,0.003813,-0.008039,0.999953,1.342560,1.051209,3.984046,1.343125,1.050526,4.023167,1.411680,1.048595,3.965791,1.273312,1.053286,3.961809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.055556,0.010541,0.005474,-0.006137,0.999911,1.342397,1.051665,3.984170,1.343136,1.050494,4.023145,1.409511,1.050335,3.965264,1.273317,1.053360,3.961766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.058333,0.005446,0.006743,-0.008276,0.999928,1.342519,1.051425,3.984050,1.343193,1.050496,4.023134,1.411601,1.048542,3.965761,1.273314,1.053457,3.961815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.061111,0.007281,0.006446,-0.007208,0.999927,1.342531,1.051380,3.984026,1.343170,1.050102,4.022948,1.411641,1.048749,3.965799,1.273292,1.053401,3.961789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.063889,0.012113,0.004738,-0.006358,0.999895,1.342526,1.051574,3.984147,1.343151,1.050081,4.022919,1.411119,1.048865,3.966230,1.273332,1.053516,3.961773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.066667,0.003912,0.003694,-0.008260,0.999951,1.342699,1.051258,3.984028,1.343210,1.050472,4.023115,1.411573,1.048979,3.965447,1.273277,1.053496,3.961807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.069444,0.006192,0.005272,-0.007357,0.999940,1.342485,1.051371,3.983901,1.343169,1.050436,4.023177,1.411699,1.048683,3.965822,1.273250,1.053450,3.961828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.072222,0.006084,0.003525,-0.008590,0.999938,1.342533,1.051184,3.984001,1.343106,1.050084,4.022980,1.411652,1.048612,3.965816,1.273282,1.053443,3.961759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.075000,0.004547,0.005050,-0.007984,0.999945,1.342620,1.051375,3.983898,1.343200,1.050544,4.023149,1.411558,1.048913,3.965481,1.273301,1.053486,3.961802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.077778,0.005391,0.005400,-0.007577,0.999942,1.342508,1.051438,3.983892,1.343208,1.050446,4.023106,1.411712,1.048656,3.965811,1.273305,1.053503,3.961822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.080556,0.002675,0.003343,-0.008328,0.999956,1.342712,1.051172,3.984038,1.343197,1.050442,4.023144,1.411639,1.048836,3.965453,1.273347,1.053347,3.961736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.083333,0.010085,0.004241,-0.006383,0.999920,1.342475,1.051637,3.984352,1.343168,1.050409,4.023160,1.410847,1.049681,3.966764,1.273321,1.053471,3.961837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.086111,0.003232,0.003540,-0.008663,0.999951,1.342727,1.051233,3.984048,1.343189,1.050521,4.023141,1.411643,1.048653,3.965818,1.273341,1.053489,3.961771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.088889,0.003845,0.003902,-0.008282,0.999951,1.342554,1.051295,3.984062,1.343173,1.050531,4.023140,1.411597,1.048642,3.965864,1.273323,1.053436,3.961806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.091667,0.008013,0.005130,-0.007432,0.999927,1.342573,1.051425,3.984072,1.343143,1.050138,4.022947,1.411170,1.048798,3.966265,1.273280,1.053342,3.961754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.094444,0.016665,0.004210,-0.006556,0.999831,1.342483,1.050967,3.983851,1.342961,1.050058,4.022888,1.411551,1.048982,3.965298,1.273314,1.053274,3.961745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.097222,0.007379,0.005086,-0.007678,0.999930,1.342494,1.051339,3.983871,1.343135,1.050106,4.022976,1.411714,1.048529,3.965885,1.273298,1.053482,3.961795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.100000,0.013984,0.006127,-0.008496,0.999847,1.342356,1.051877,3.984262,1.343197,1.050436,4.023116,1.409379,1.050355,3.965263,1.273278,1.053521,3.961862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.102778,0.005518,0.005306,-0.007851,0.999940,1.342511,1.051414,3.983906,1.343203,1.050447,4.023158,1.411685,1.048588,3.965819,1.273310,1.053519,3.961792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.105556,0.005180,0.005252,-0.008003,0.999941,1.342622,1.051301,3.983884,1.343185,1.050359,4.023149,1.411577,1.048847,3.965431,1.273268,1.053428,3.961842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.108333,0.004887,0.005004,-0.007351,0.999949,1.342658,1.051278,3.983895,1.343198,1.050406,4.023153,1.411616,1.048916,3.965464,1.273335,1.053371,3.961828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.111111,0.004946,0.005095,-0.007895,0.999944,1.342655,1.051301,3.983901,1.343226,1.050424,4.023127,1.411570,1.048824,3.965469,1.273285,1.053487,3.961833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.113889,0.005614,0.004968,-0.007939,0.999940,1.342496,1.051375,3.983900,1.343154,1.050430,4.023092,1.411479,1.048831,3.966089,1.273312,1.053430,3.961788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.116667,0.006053,0.004997,-0.008232,0.999935,1.342502,1.051389,3.983887,1.343112,1.050184,4.022989,1.411660,1.048549,3.965848,1.273296,1.053559,3.961774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.119444,0.004423,0.004992,-0.007794,0.999947,1.342654,1.051389,3.983879,1.343176,1.050423,4.023108,1.411651,1.048918,3.965423,1.273325,1.053450,3.961778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.122222,0.012397,0.007464,-0.008630,0.999858,1.342412,1.051877,3.984047,1.343156,1.050429,4.023172,1.409408,1.050387,3.965279,1.273283,1.053526,3.961801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.125000,0.006030,0.004710,-0.007508,0.999943,1.342644,1.051342,3.983889,1.343140,1.050051,4.022888,1.411649,1.048961,3.965538,1.273310,1.053523,3.961849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.127778,0.006949,0.005587,-0.009224,0.999918,1.342802,1.051244,3.984293,1.343233,1.050521,4.023499,1.411645,1.048622,3.965860,1.273299,1.053425,3.961740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
