Format Version,1.23,Take Name,Corner Reflector,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-01 01.20.55.123 PM,Total Frames in Take,2439,Total Exported Frames,2439,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker3,Corner Reflector:Marker3,Corner Reflector:Marker3
,ID,"6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","C58A0","C58A0","C58A0","C58E0","C58E0","C58E0","C5E10","C5E10","C5E10"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0.097222,0.004560,-0.004681,0.011836,-0.999909,1.793038,-0.017273,-1.810147,1.811580,-0.015666,-1.860278,1.774691,-0.015962,-1.825937,1.794644,-0.018269,-1.743721
36,0.100000,0.005569,-0.006754,0.023746,-0.999680,1.792896,-0.017494,-1.810148,1.810284,-0.019376,-1.860070,1.774701,-0.015917,-1.825873,1.794499,-0.017422,-1.743579
37,0.102778,0.004801,-0.006788,0.029598,-0.999527,1.792786,-0.017272,-1.810131,1.810176,-0.019819,-1.860169,1.774762,-0.016243,-1.825904,1.794665,-0.018428,-1.743974
38,0.105556,0.005332,-0.006578,0.026500,-0.999613,1.792922,-0.017454,-1.810056,1.810257,-0.019371,-1.859991,1.774736,-0.015930,-1.825940,1.794492,-0.016933,-1.743803
39,0.108333,0.002767,-0.005122,0.016655,-0.999844,1.792906,-0.017084,-1.810303,1.811556,-0.015391,-1.860218,1.774697,-0.016148,-1.825930,1.794674,-0.018405,-1.743938
40,0.111111,0.003882,-0.005689,0.015334,-0.999859,1.792933,-0.017325,-1.810215,1.811546,-0.015411,-1.860192,1.774693,-0.015928,-1.825954,1.794764,-0.018516,-1.744247
41,0.113889,0.002743,-0.006435,0.012741,-0.999894,1.792898,-0.017359,-1.810356,1.811511,-0.015433,-1.860249,1.774695,-0.016029,-1.825932,1.794592,-0.018847,-1.744048
42,0.116667,0.004010,-0.004782,0.012733,-0.999900,1.793033,-0.017286,-1.810300,1.811594,-0.015416,-1.860144,1.774678,-0.015922,-1.825996,1.794642,-0.018337,-1.743931
43,0.119444,0.006479,-0.005634,0.023332,-0.999691,1.792899,-0.017409,-1.809985,1.810226,-0.019812,-1.860090,1.774747,-0.016002,-1.825986,1.794441,-0.017058,-1.743833
44,0.122222,0.007072,-0.005626,0.022582,-0.999704,1.792983,-0.017581,-1.810068,1.810266,-0.019925,-1.860152,1.774719,-0.015988,-1.825967,1.794632,-0.017200,-1.743843
45,0.125000,0.005162,-0.006943,0.023888,-0.999677,1.793090,-0.017554,-1.810030,1.810324,-0.019954,-1.860149,1.774773,-0.016075,-1.826046,1.794619,-0.016978,-1.743478
46,0.127778,0.003926,-0.004395,0.011004,-0.999922,1.793053,-0.017319,-1.810111,1.811508,-0.015452,-1.860142,1.774702,-0.016025,-1.825946,1.794246,-0.017882,-1.743653
47,0.130556,0.004328,-0.004847,0.010101,-0.999928,1.793105,-0.017334,-1.810104,1.811594,-0.015596,-1.860258,1.774720,-0.016057,-1.825926,1.794727,-0.018364,-1.743675
48,0.133333,0.004726,-0.005459,0.009120,-0.999932,1.792978,-0.017174,-1.810111,1.811555,-0.015440,-1.860243,1.774733,-0.016109,-1.825984,1.794643,-0.018102,-1.743668
49,0.136111,0.004219,-0.006728,0.014827,-0.999859,1.792832,-0.017291,-1.810270,1.810387,-0.017377,-1.862382,1.774706,-0.016027,-1.825911,1.794573,-0.016962,-1.743712
50,0.138889,0.004946,-0.004976,0.013054,-0.999890,1.792863,-0.017225,-1.810105,1.811543,-0.015476,-1.860236,1.774690,-0.016060,-1.825952,1.794614,-0.018602,-1.743631
51,0.141667,0.002057,-0.005328,0.010615,-0.999927,1.792979,-0.017333,-1.810313,1.811533,-0.015465,-1.860208,1.774704,-0.016053,-1.825917,1.794626,-0.018290,-1.743711
52,0.144444,0.004908,-0.004227,0.009301,-0.999936,1.793012,-0.017245,-1.810383,1.810953,-0.017460,-1.862477,1.774733,-0.015921,-1.825953,1.794194,-0.017607,-1.743636
53,0.147222,0.006656,-0.008108,0.033470,-0.999385,1.792760,-0.017932,-1.810306,1.810309,-0.021085,-1.860924,1.774711,-0.016079,-1.825990,1.794672,-0.018484,-1.743974
54,0.150000,0.003200,-0.004686,0.015773,-0.999860,1.793076,-0.017346,-1.810214,1.811592,-0.015476,-1.860179,1.774780,-0.016026,-1.825959,1.794601,-0.018359,-1.743951
55,0.152778,0.004032,-0.006238,0.024470,-0.999673,1.792870,-0.017639,-1.810179,1.810235,-0.019863,-1.860106,1.774712,-0.015964,-1.825868,1.794632,-0.018516,-1.743959
56,0.155556,0.005110,-0.004127,0.010947,-0.999919,1.792952,-0.017191,-1.810192,1.811569,-0.015518,-1.860227,1.774701,-0.015975,-1.825913,1.794642,-0.018214,-1.743731
57,0.158333,0.004238,-0.005127,0.012393,-0.999901,1.793125,-0.017206,-1.810038,1.811504,-0.015552,-1.860249,1.774750,-0.016023,-1.825954,1.794782,-0.017825,-1.743373
