,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker3,Corner Reflector:Marker3,Corner Reflector:Marker3,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3
,ID,"8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","D1890","D1890","D1890","D1960","D1960","D1960","D1AA0","D1AA0","D1AA0","D0870","D0870","D0870","D0880","D0880","D0880","D29D0","D29D0","D29D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,0.055556,,,,,,,,-0.001381,0.002579,-0.008586,-0.999959,-5.139496,1.793184,-0.528679,0.015099,0.006445,-0.235447,0.971748,-1.006675,0.067024,-1.148680,-0.987501,0.071905,-1.421860,-1.022600,0.061549,-0.924177,-1.009826,0.065497,-1.099645,-5.058341,1.788596,-0.581116,-5.047911,1.785113,-0.479184,-5.310958,1.805391,-0.524638
21,0.058333,,,,,,,,-0.000268,0.004717,-0.001918,-0.999987,-5.139494,1.794491,-0.529015,0.005057,0.002418,-0.095131,0.995449,-1.006727,0.066916,-1.148751,-0.987671,0.071669,-1.422064,-1.023202,0.061070,-0.924533,-1.009810,0.065568,-1.099666,-5.058354,1.788598,-0.581170,-5.048158,1.784648,-0.479054,-5.311001,1.811252,-0.525487
22,0.061111,,,,,,,,-0.001032,0.002777,-0.008334,-0.999961,-5.139486,1.793186,-0.528655,0.026243,0.010562,-0.394748,0.918354,-1.006684,0.067031,-1.148653,-0.987533,0.075204,-1.422143,-1.022772,0.061475,-0.924244,-1.009828,0.065517,-1.099612,-5.058338,1.788575,-0.580968,-5.047608,1.785566,-0.478978,-5.310959,1.805492,-0.524689
23,0.063889,,,,,,,,-0.001398,0.004446,-0.001505,-0.999988,-5.139424,1.794351,-0.528932,0.020058,0.008374,-0.303606,0.952550,-1.006728,0.066999,-1.148697,-0.987509,0.075115,-1.422176,-1.023186,0.061268,-0.924598,-1.009827,0.065455,-1.099640,-5.058349,1.788527,-0.581232,-5.047930,1.785043,-0.479243,-5.311019,1.811000,-0.525358
24,0.066667,,,,,,,,0.000398,0.003947,-0.002006,-0.999990,-5.139604,1.794364,-0.529035,0.016129,0.006580,-0.248690,0.968426,-1.006777,0.066914,-1.148743,-0.987687,0.071480,-1.422005,-1.023186,0.061004,-0.924503,-1.009849,0.065485,-1.099667,-5.058356,1.788498,-0.581092,-5.048153,1.784569,-0.479048,-5.311009,1.811025,-0.525315
25,0.069444,,,,,,,,0.000175,0.003868,-0.001891,-0.999991,-5.139602,1.794461,-0.529038,0.014421,0.006242,-0.225671,0.974077,-1.006649,0.066962,-1.148672,-0.987501,0.071939,-1.421919,-1.022508,0.061917,-0.924281,-1.009814,0.065500,-1.099644,-5.058354,1.788573,-0.581128,-5.048105,1.784653,-0.479079,-5.310992,1.811167,-0.525304
26,0.072222,,,,,,,,0.000286,0.004413,-0.001733,-0.999989,-5.139543,1.794441,-0.529016,0.026323,0.010047,-0.385623,0.922226,-1.006682,0.067151,-1.148767,-0.986911,0.075578,-1.422272,-1.023186,0.061044,-0.924543,-1.009882,0.065553,-1.099628,-5.058363,1.788502,-0.581220,-5.048126,1.784608,-0.479107,-5.311020,1.811226,-0.525438
27,0.075000,,,,,,,,-0.000697,0.005474,-0.002490,-0.999982,-5.139810,1.794251,-0.529284,0.033520,0.013463,-0.493711,0.868875,-1.006792,0.067197,-1.148601,-0.987448,0.075155,-1.422157,-1.022558,0.061679,-0.924068,-1.009887,0.065535,-1.099654,-5.058325,1.788559,-0.581092,-5.048179,1.784555,-0.479027,-5.312838,1.808932,-0.527030
28,0.077778,,,,,,,,-0.000705,0.005814,-0.001881,-0.999981,-5.139457,1.794156,-0.529130,0.021781,0.008796,-0.324964,0.945435,-1.006781,0.067209,-1.148703,-0.987303,0.074850,-1.423113,-1.023111,0.061327,-0.924396,-1.009828,0.065491,-1.099607,-5.058001,1.788433,-0.580854,-5.047607,1.785504,-0.479014,-5.312933,1.808872,-0.527015
29,0.080556,,,,,,,,-0.000563,0.004635,-0.001500,-0.999988,-5.139471,1.794503,-0.529047,0.019323,0.008211,-0.290437,0.956664,-1.006787,0.067171,-1.148653,-0.987167,0.074445,-1.423563,-1.023170,0.061193,-0.924541,-1.009843,0.065510,-1.099622,-5.058402,1.788468,-0.581315,-5.048141,1.784588,-0.479049,-5.310648,1.810653,-0.525817
30,0.083333,,,,,,,,-0.002386,0.002977,-0.008450,-0.999957,-5.139453,1.793237,-0.528647,0.024297,0.009716,-0.361535,0.931991,-1.006710,0.067067,-1.148788,-0.987303,0.074883,-1.423032,-1.023192,0.061273,-0.924606,-1.009850,0.065517,-1.099663,-5.058393,1.788562,-0.581318,-5.047612,1.785495,-0.478984,-5.310999,1.805407,-0.524668
31,0.086111,,,,,,,,-0.001139,0.003005,-0.008360,-0.999960,-5.139520,1.793238,-0.528675,0.014338,0.006056,-0.223700,0.974534,-1.006686,0.066968,-1.148687,-0.987480,0.071868,-1.421958,-1.023230,0.061104,-0.924529,-1.009868,0.065525,-1.099685,-5.058360,1.788544,-0.581184,-5.047792,1.784051,-0.479037,-5.310964,1.805467,-0.524696
32,0.088889,,,,,,,,-0.001780,0.004206,-0.005187,-0.999976,-5.139490,1.793735,-0.528871,0.015638,0.006093,-0.246163,0.969083,-1.006813,0.066982,-1.148753,-0.987483,0.075149,-1.422146,-1.023230,0.061053,-0.924463,-1.009819,0.065530,-1.099655,-5.058358,1.788558,-0.581202,-5.047606,1.785534,-0.478991,-5.310857,1.809519,-0.525641
33,0.091667,,,,,,,,-0.000234,0.004642,-0.001458,-0.999988,-5.139638,1.794381,-0.529108,0.021229,0.008673,-0.318185,0.947751,-1.006911,0.067211,-1.148769,-0.987372,0.074216,-1.423745,-1.023069,0.060792,-0.924659,-1.009816,0.065478,-1.099656,-5.058328,1.788580,-0.581037,-5.048137,1.784130,-0.479158,-5.310737,1.811443,-0.525698
34,0.094444,,,,,,,,-0.000225,0.005528,-0.002547,-0.999981,-5.139660,1.794276,-0.529309,0.019194,0.007874,-0.291502,0.956345,-1.006795,0.067090,-1.148673,-0.987846,0.074364,-1.424045,-1.023088,0.060719,-0.924638,-1.009849,0.065550,-1.099667,-5.058386,1.788505,-0.581091,-5.048162,1.784572,-0.479022,-5.312860,1.808912,-0.527144
35,0.097222,,,,,,,,-0.001284,0.004388,-0.001364,-0.999989,-5.139468,1.794381,-0.529043,0.024985,0.009685,-0.369814,0.928719,-1.006587,0.066986,-1.148711,-0.986149,0.073917,-1.422142,-1.023236,0.061243,-0.924592,-1.009828,0.065499,-1.099651,-5.058358,1.788554,-0.581083,-5.047931,1.785058,-0.479243,-5.310715,1.811458,-0.525633
36,0.100000,,,,,,,,-0.000072,0.004173,-0.002048,-0.999989,-5.139434,1.794469,-0.528983,0.031382,0.012592,-0.461120,0.886693,-1.006761,0.067190,-1.148714,-0.987215,0.074477,-1.423683,-1.023169,0.061328,-0.924651,-1.009844,0.065473,-1.099645,-5.058394,1.788489,-0.581341,-5.048116,1.784594,-0.479048,-5.310978,1.811089,-0.525344
37,0.102778,,,,,,,,-0.001746,0.005672,-0.002199,-0.999980,-5.139640,1.794249,-0.529215,0.014843,0.006328,-0.230537,0.972930,-1.006681,0.066918,-1.148712,-0.987694,0.071696,-1.422071,-1.023200,0.061206,-0.924610,-1.009858,0.065510,-1.099634,-5.058409,1.788451,-0.581319,-5.047806,1.783942,-0.479067,-5.312858,1.808949,-0.527018
38,0.105556,,,,,,,,-0.000483,0.004188,-0.004961,-0.999979,-5.139397,1.793664,-0.528793,0.009487,0.003870,-0.160758,0.986941,-1.006783,0.066961,-1.148721,-0.987514,0.075126,-1.422150,-1.023199,0.061009,-0.924546,-1.009810,0.065523,-1.099672,-5.058015,1.788435,-0.580826,-5.047938,1.785059,-0.479220,-5.310865,1.809528,-0.525592
39,0.108333,,,,,,,,-0.000179,0.005210,-0.002565,-0.999983,-5.139743,1.794247,-0.529208,0.016584,0.006914,-0.260583,0.965284,-1.006620,0.066862,-1.148689,-0.987511,0.071838,-1.421903,-1.022663,0.060995,-0.924360,-1.009843,0.065486,-1.099632,-5.058291,1.788659,-0.581001,-5.048153,1.784641,-0.479075,-5.310849,1.809559,-0.525647
